run_id,split_protocol,seed,model_family,model_or_variant,feature_source,input_dim,latent_dim,compression_ratio,selection_basis,uses_validation_for_selection,uses_test_for_selection,is_oracle_reference,test_accuracy,test_balanced_accuracy,test_macro_f1,test_mcc,test_log_loss,test_opposite_direction_rate,n_train,n_val,n_test,delta_macro_f1_vs_raw_tuned_within_run,delta_mcc_vs_raw_tuned_within_run,delta_macro_f1_vs_majority_within_run
chronological_purged,chronological_purged,0,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6440972222222222,0.3333333333333333,0.26117564237944385,0.0,0.8980340956307887,0.0,5600,1200,1152,-0.13401249915423996,-0.1784332493791942,0.0
chronological_purged,chronological_purged,0,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.4149305555555556,0.47480332215721077,0.39874852833303703,0.17865751863966728,1.2450357608784204,0.2926829268292683,5600,1200,1152,0.0035603867993532212,0.0002242692604730867,0.13757288595359318
chronological_purged,chronological_purged,0,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=0.01,True,False,False,0.4088541666666667,0.47636578791663925,0.3951881415336838,0.1784332493791942,1.2360759914668131,0.29024390243902437,5600,1200,1152,0.0,0.0,0.13401249915423996
chronological_purged,chronological_purged,0,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=0.1,False,True,True,0.4157986111111111,0.4752525584555037,0.39941867566362516,0.17942655146205494,1.2430808781859044,0.2926829268292683,5600,1200,1152,0.0042305341299413435,0.0009933020828607475,0.1382430332841813
chronological_purged,chronological_purged,0,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.3967013888888889,0.433596300922578,0.37362527533334605,0.1462534685001913,1.1852806451433713,0.36829268292682926,5600,1200,1152,-0.02156286620033776,-0.03217978087900289,0.1124496329539022
chronological_purged,chronological_purged,0,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.4322916666666667,0.5555716257971205,0.4318430006220933,0.26018908580686045,1.0623127344441619,0.21707317073170732,5600,1200,1152,0.036654859088409486,0.08175583642766626,0.17066735824264945
chronological_purged,chronological_purged,0,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.4322916666666667,0.5555716257971205,0.4318430006220933,0.26018908580686045,1.0623127344441619,0.21707317073170732,5600,1200,1152,0.036654859088409486,0.08175583642766626,0.17066735824264945
chronological_no_purge,chronological_no_purge,0,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6440972222222222,0.3333333333333333,0.26117564237944385,0.0,0.8980340956307887,0.0,5600,1200,1152,-0.13401249915423996,-0.1784332493791942,0.0
chronological_no_purge,chronological_no_purge,0,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.4149305555555556,0.47480332215721077,0.39874852833303703,0.17865751863966728,1.2450357608784204,0.2926829268292683,5600,1200,1152,0.0035603867993532212,0.0002242692604730867,0.13757288595359318
chronological_no_purge,chronological_no_purge,0,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=0.01,True,False,False,0.4088541666666667,0.47636578791663925,0.3951881415336838,0.1784332493791942,1.2360759914668131,0.29024390243902437,5600,1200,1152,0.0,0.0,0.13401249915423996
chronological_no_purge,chronological_no_purge,0,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=0.1,False,True,True,0.4157986111111111,0.4752525584555037,0.39941867566362516,0.17942655146205494,1.2430808781859044,0.2926829268292683,5600,1200,1152,0.0042305341299413435,0.0009933020828607475,0.1382430332841813
chronological_no_purge,chronological_no_purge,0,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.3967013888888889,0.433596300922578,0.37362527533334605,0.1462534685001913,1.1852806451433713,0.36829268292682926,5600,1200,1152,-0.02156286620033776,-0.03217978087900289,0.1124496329539022
chronological_no_purge,chronological_no_purge,0,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.4322916666666667,0.5555716257971205,0.4318430006220933,0.26018908580686045,1.0623127344441619,0.21707317073170732,5600,1200,1152,0.036654859088409486,0.08175583642766626,0.17066735824264945
chronological_no_purge,chronological_no_purge,0,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.4322916666666667,0.5555716257971205,0.4318430006220933,0.26018908580686045,1.0623127344441619,0.21707317073170732,5600,1200,1152,0.036654859088409486,0.08175583642766626,0.17066735824264945
random_window_naive_seed42,random_window_naive,42,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6614583333333334,0.3333333333333333,0.2654127481713689,0.0,0.8747078061521697,0.0,5600,1200,1152,-0.1992857330452492,-0.23903035998618732,0.0
random_window_naive_seed42,random_window_naive,42,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.5078125,0.5250080582032509,0.4646984812166181,0.23903035998618732,1.0141248008462327,0.2128205128205128,5600,1200,1152,0.0,0.0,0.1992857330452492
random_window_naive_seed42,random_window_naive,42,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=10,True,False,False,0.5078125,0.5250080582032509,0.4646984812166181,0.23903035998618732,1.0140103117237456,0.2128205128205128,5600,1200,1152,0.0,0.0,0.1992857330452492
random_window_naive_seed42,random_window_naive,42,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=0.1,False,True,True,0.5104166666666666,0.5301834967997422,0.46847490488605475,0.2434918781832518,1.012136512220097,0.20512820512820512,5600,1200,1152,0.003776423669436646,0.0044615181970644735,0.20306215671468586
random_window_naive_seed42,random_window_naive,42,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.4678819444444444,0.4366666666666667,0.40299628438171037,0.15733022941986288,1.0531744626420685,0.3230769230769231,5600,1200,1152,-0.06170219683490774,-0.08170013056632444,0.13758353621034147
random_window_naive_seed42,random_window_naive,42,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.5217013888888888,0.5849502693742229,0.4958925037923407,0.3063280216457789,0.952065212596223,0.19487179487179487,5600,1200,1152,0.03119402257572257,0.06729766165959156,0.23047975562097178
random_window_naive_seed42,random_window_naive,42,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.5217013888888888,0.5849502693742229,0.4958925037923407,0.3063280216457789,0.952065212596223,0.19487179487179487,5600,1200,1152,0.03119402257572257,0.06729766165959156,0.23047975562097178
random_block_purged_seed42,random_block_purged,42,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.7207792207792207,0.3333333333333333,0.2792452830188679,0.0,0.7984695919496775,0.0,5407,1171,924,-0.13344409402694474,-0.16931603424044392,0.0
random_block_purged_seed42,random_block_purged,42,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.5216450216450217,0.4742933723196881,0.4245229096536107,0.18738501831270313,0.947281293293998,0.2596899224806202,5407,1171,924,0.01183353260779807,0.01806898407225921,0.1452776266347428
random_block_purged_seed42,random_block_purged,42,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=0.01,True,False,False,0.5097402597402597,0.4603122859701807,0.41268937704581266,0.16931603424044392,0.948819936882791,0.26356589147286824,5407,1171,924,0.0,0.0,0.13344409402694474
random_block_purged_seed42,random_block_purged,42,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=10,False,True,True,0.5216450216450217,0.4742933723196881,0.4245229096536107,0.18738501831270313,0.9472807319451155,0.2596899224806202,5407,1171,924,0.01183353260779807,0.01806898407225921,0.1452776266347428
random_block_purged_seed42,random_block_purged,42,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.4772727272727273,0.3847367103946051,0.359329374409987,0.11684996720960057,1.0123354811565453,0.3875968992248062,5407,1171,924,-0.05336000263582563,-0.05246606703084335,0.0800840913911191
random_block_purged_seed42,random_block_purged,42,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.5822510822510822,0.6403541699594332,0.5262603821151481,0.36520141067286177,0.8394147401460973,0.19767441860465115,5407,1171,924,0.11357100506933548,0.19588537643241785,0.24701509909628022
random_block_purged_seed42,random_block_purged,42,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.5822510822510822,0.6403541699594332,0.5262603821151481,0.36520141067286177,0.8394147401460973,0.19767441860465115,5407,1171,924,0.11357100506933548,0.19588537643241785,0.24701509909628022
random_window_naive_seed43,random_window_naive,43,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6814236111111112,0.3333333333333333,0.27017725004302184,0.0,0.8466904460773121,0.0,5600,1200,1152,-0.18956546948521918,-0.24618395915436686,0.0
random_window_naive_seed43,random_window_naive,43,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.5095486111111112,0.5251221171322809,0.45852857324399804,0.24303869711379164,1.0040230257232245,0.23433242506811988,5600,1200,1152,-0.0012141462842429895,-0.0031452620405752196,0.1883513232009762
random_window_naive_seed43,random_window_naive,43,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=0.01,True,False,False,0.5104166666666666,0.5270829014460063,0.45974271952824103,0.24618395915436686,1.002069526449929,0.23705722070844687,5600,1200,1152,0.0,0.0,0.18956546948521918
random_window_naive_seed43,random_window_naive,43,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=0.01,False,True,True,0.5104166666666666,0.5270829014460063,0.45974271952824103,0.24618395915436686,1.002069526449929,0.23705722070844687,5600,1200,1152,0.0,0.0,0.18956546948521918
random_window_naive_seed43,random_window_naive,43,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.5,0.47601527597362453,0.42913108445895337,0.20741139064209144,1.0271983731348395,0.3188010899182561,5600,1200,1152,-0.030611635069287657,-0.038772568512275424,0.15895383441593153
random_window_naive_seed43,random_window_naive,43,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.5451388888888888,0.6160385677760386,0.5134438976975882,0.3365501996974715,0.9301107127583721,0.1771117166212534,5600,1200,1152,0.05370117816934722,0.09036624054310466,0.2432666476545664
random_window_naive_seed43,random_window_naive,43,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.5451388888888888,0.6160385677760386,0.5134438976975882,0.3365501996974715,0.9301107127583721,0.1771117166212534,5600,1200,1152,0.05370117816934722,0.09036624054310466,0.2432666476545664
random_block_purged_seed43,random_block_purged,43,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.7197049525816649,0.3333333333333333,0.2790032679738562,0.0,0.798625011401672,0.0,5779,924,949,-0.11208165962840566,-0.1299691221079292,0.0
random_block_purged_seed43,random_block_purged,43,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.46469968387776606,0.4489910835151498,0.3910849276022619,0.1299691221079292,1.0620280496061156,0.22180451127819548,5779,924,949,0.0,0.0,0.11208165962840566
random_block_purged_seed43,random_block_purged,43,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=10,True,False,False,0.46469968387776606,0.4489910835151498,0.3910849276022619,0.1299691221079292,1.0620267784037851,0.22180451127819548,5779,924,949,0.0,0.0,0.11208165962840566
random_block_purged_seed43,random_block_purged,43,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=0.1,False,True,True,0.4657534246575342,0.44902315610100274,0.3918172375154887,0.12952689633482717,1.0661718501644046,0.21804511278195488,5779,924,949,0.000732309913226814,-0.00044222577310204514,0.11281396954163248
random_block_purged_seed43,random_block_purged,43,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.4636459430979979,0.40499136223788207,0.3677046187687405,0.08816416275913927,1.0525377510543634,0.23684210526315788,5779,924,949,-0.02338030883352138,-0.041804959348789944,0.08870135079488428
random_block_purged_seed43,random_block_purged,43,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.458377239199157,0.5402771177120925,0.42412535412899977,0.2134396792587645,0.9936541109590306,0.15789473684210525,5779,924,949,0.03304042652673789,0.08347055715083529,0.14512208615514355
