model,model_variant,latent_dim,split,lobench_mse_loss,lobench_mae_loss,lobench_price_loss,lobench_volume_loss,lobench_weighted_price_loss,lobench_weighted_volume_loss,lobench_weighted_mse_loss,lobench_reg_loss,lobench_all_loss
train_mean_window,train_mean_window,,train,1.0,0.5282307863235474,1.0000001192092896,1.0,1.0352951283400567,1.0352951346285535,1.0352951295977562,8.031787501749932e-07,2.035303161385258
train_mean_window,train_mean_window,,val,2.5541763305664062,0.9284587502479553,1.5209088325500488,3.5874440670013428,2.287975810068832,2.9021133560908305,2.4108033192732314,8.031787501749932e-07,4.964987681627139
train_mean_window,train_mean_window,,test,2.201270341873169,0.9195215702056885,1.8422131538391113,2.5603277683258057,3.252590307039276,1.3136671659794383,2.864805678827308,8.031787501749932e-07,5.066084052487978
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,1.0798412561416626,0.32230889797210693,1.252589225769043,0.9070934057235718,0.94856377117612,1.0874724506049451,0.976345507061885,0.03264791518449783,2.382665915048526
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,1.6731534004211426,0.4309217929840088,1.4961638450622559,1.8501429557800293,1.1072755365395017,1.7292861751700799,1.2316776642656173,0.05450906231999397,3.4499216878866994
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,1.8321415185928345,0.4410129487514496,1.7817275524139404,1.882555603981018,1.842092769900524,1.4591178997840684,1.7654977958772329,0.0742485448718071,4.340124763188138
pca,pca@8,8.0,train,0.3558577597141266,0.2974686920642853,0.1430836170911789,0.5686318874359131,0.297576256768328,0.6370414208066235,0.3654692895759871,0.0294474009424448,1.0158010587145618
pca,pca@8,8.0,val,0.8592962622642517,0.476589173078537,0.2020805925130844,1.5165120363235474,0.4964720362848407,1.2655561756756017,0.6502888641629929,0.04415223002433777,1.9511074266706223
pca,pca@8,8.0,test,0.8811519145965576,0.4793241620063782,0.23133960366249084,1.5309641361236572,0.6148376634741893,1.0614575343207382,0.7041616376434991,0.0511111244559288,2.0964247967993446
pca,pca@16,16.0,train,0.2672918438911438,0.2562834322452545,0.09209783375263214,0.4424858093261719,0.241231139128299,0.5300037172330727,0.2989856547492537,0.03205733001232147,0.8868507987636123
pca,pca@16,16.0,val,0.626496434211731,0.4351997673511505,0.14701083302497864,1.1059821844100952,0.387749133477082,1.0373955849071368,0.5176784237630929,0.05030106380581856,1.6471854960330095
pca,pca@16,16.0,test,0.6168215870857239,0.4114190638065338,0.18230168521404266,1.0513414144515991,0.48022444431374617,0.8158080165595358,0.5473411587629041,0.0676087960600853,1.8402507064494809
pca,pca@32,32.0,train,0.19845589995384216,0.21056881546974182,0.0688227042555809,0.3280890882015228,0.21459828808675155,0.38666992506936576,0.24901261548327436,0.032482776790857315,0.7722962833456897
pca,pca@32,32.0,val,0.3822987377643585,0.31778058409690857,0.09695614129304886,0.6676412224769592,0.32289922675046134,0.7066702838848786,0.3996534381773448,0.05328749492764473,1.3148271252181507
pca,pca@32,32.0,test,0.4244960844516754,0.30926308035850525,0.11417996883392334,0.7348122596740723,0.4081292675012071,0.6526286915600473,0.45702915231297514,0.07227595895528793,1.6042848263175298
pca,pca@64,64.0,train,0.1392839252948761,0.16275477409362793,0.04968152195215225,0.22888632118701935,0.17775921586955062,0.25745579194204427,0.19369853108404936,0.032713863998651505,0.6601210963654405
pca,pca@64,64.0,val,0.23161707818508148,0.22703325748443604,0.06709753721952438,0.396136611700058,0.25444056414545513,0.43457486892259584,0.2904674251008833,0.053924810141325,1.0613326046992149
pca,pca@64,64.0,test,0.2802900969982147,0.23750141263008118,0.08847297728061676,0.4721071422100067,0.3601637066578905,0.4659240258867295,0.3813157705036583,0.07289771735668182,1.3905830410686912
pca,pca@128,128.0,train,0.08966191112995148,0.12948516011238098,0.025612419471144676,0.15371140837669373,0.08711501229257679,0.17588693055304677,0.10486939594467078,0.03303202986717224,0.5248516057463446
pca,pca@128,128.0,val,0.12641330063343048,0.16024330258369446,0.02385861426591873,0.22896796464920044,0.07421579466089182,0.279414383739853,0.11525551247668404,0.05424364283680916,0.7841052414782061
pca,pca@128,128.0,test,0.18382377922534943,0.18705031275749207,0.06637086719274521,0.30127668380737305,0.2855578283878483,0.3161184245487348,0.2916699476200256,0.07305708527565002,1.2060645796018754
mlp_ae,mlp_ae@16,16.0,train,0.1796933263540268,0.20563524961471558,0.06868483126163483,0.29070183634757996,0.1999710090324018,0.3542069745891139,0.2308182021437442,0.05458834022283554,0.9563949307261264
mlp_ae,mlp_ae@16,16.0,val,0.5615103840827942,0.43364623188972473,0.128463014960289,0.9945576786994934,0.3579324748248111,1.0712079515518416,0.5005875701702172,0.10241246223449707,2.086222576597982
mlp_ae,mlp_ae@16,16.0,test,0.5617189407348633,0.41833099722862244,0.15867725014686584,0.9647607207298279,0.5096059057220591,0.8634500049607604,0.5803747255697993,0.11024519801139832,2.2445456464186457
mlp_ae,mlp_ae@32,32.0,train,0.14265891909599304,0.18367218971252441,0.05607423931360245,0.22924359142780304,0.16342880762079406,0.27546189756630846,0.18583542560989694,0.05079542472958565,0.8364485920017465
mlp_ae,mlp_ae@32,32.0,val,0.5017003417015076,0.41682183742523193,0.12082312256097794,0.8825774788856506,0.3795309051296599,0.978967778782862,0.49941827986030035,0.08357477188110352,1.8368663403728431
mlp_ae,mlp_ae@32,32.0,test,0.5210931897163391,0.4199081063270569,0.15887975692749023,0.883306622505188,0.5303516310875203,0.8837125337488562,0.6010238116197875,0.09742885082960129,2.0964055096321395
mlp_ae,mlp_ae@64,64.0,train,0.13703866302967072,0.17968562245368958,0.05583321303129196,0.21824410557746887,0.16390063820176157,0.2610873718867553,0.1833379849387603,0.05096147954463959,0.8299914434148269
mlp_ae,mlp_ae@64,64.0,val,0.4081726670265198,0.3784244656562805,0.10590899735689163,0.710436224937439,0.308504413005936,0.8470377562133646,0.4162110816474217,0.08754691481590271,1.6998528968329687
mlp_ae,mlp_ae@64,64.0,test,0.42514681816101074,0.37357306480407715,0.13465464115142822,0.7156389951705933,0.4506041435375554,0.7247804082138846,0.5054393964728212,0.09770623594522476,1.9076485740860796
